cust_id,HHIncBand,AgeBrkt,Gdr,HomeOwn,FavSport
114474,Under35,65+,F,own,Hockey
102523,0-35k,45-54,F,Owns,
110689,150k+,65+,M,tenant,Soccer
110631,Low,25-34,M,owner,golf
100036,MedHigh,65+,M,Owns,golf
117755,0-35k,25-34,M,Owns,Football
111175,75to150,55-64,,own,motorsport
103743,35-75k,70,M,Owns,MMA
106415,35_75,70,F,tenant,Basketball
100648,150k+,70,F,tenant,MMA
112699,75-150k,55-64,F,tenant,MMA
105534,150k+,55-64,M,own,Baseball
111990,150k+,25-34,M,owner,Hockey
112882,Low,35-44,M,own,Hockey
104105,0-35k,65+,F,rent,Basketball
114430,Low,65+,M,rent,Basketball
116536,35_75,25-34,M,,golf
105105,35-75k,65+,M,Owns,esports
118924,150kplus,65+,M,,esports
111330,150k+,55-64,M,rent,golf
117795,150kplus,18 to 24,F,,Hockey
111369,HighIncome,55-64,M,own,
111564,35-75k,45-54,M,,Football
112078,Under35,65+,F,rent,esports
116437,HighIncome,55-64,O,,MMA
114778,35_75,55-64,F,Owns,Football
104857,0-35k,18-24,M,tenant,Football
106631,75-150k,25_34,M,rent,
118650,Under35,70,F,Owns,motorsport
108939,75-150k,35-44,F,own,
107677,Low,18 to 24,F,,golf
115462,150k+,70,M,,Hockey
105914,75to150,25-34,M,own,Soccer
111393,Low,45-54,M,own,MMA
103310,35-75k,18 to 24,F,owner,golf
116585,150kplus,25-34,F,,Baseball
114435,Low,18 to 24,F,rent,Soccer
119450,0-35k,70,F,,Basketball
102315,150k+,55-64,M,rent,Football
102012,HighIncome,45-54,F,Owns,esports
101458,HighIncome,70,M,tenant,Hockey
114466,150k+,65+,F,,motorsport
110559,Low,35-44,M,,esports
102343,MedHigh,65+,F,,Soccer
102909,150kplus,25-34,M,,Hockey
106797,HighIncome,35-44,F,,Hockey
105237,HighIncome,25-34,F,rent,esports
113626,MedHigh,45-54,F,Owns,Baseball
104474,Under35,35-44,F,own,motorsport
111111,35_75,65+,F,own,Baseball
114477,75-150k,35-44,F,owner,Basketball
103690,150k+,25-34,F,tenant,esports
102174,HighIncome,70,M,,esports
108251,75-150k,55-64,M,,MMA
103910,Low,18-24,M,rent,golf
112516,150k+,65+,O,,tennis
113616,Under35,70,M,tenant,Soccer
101529,150k+,65+,M,owner,Soccer
104412,150k+,65+,F,owner,Football
106260,0-35k,25_34,M,,Baseball
100550,150k+,35-44,F,,MMA
109960,75to150,70,,tenant,golf
105854,35-75k,25_34,F,owner,golf
101244,75to150,70,F,rent,motorsport
116109,35_75,35-44,F,tenant,Basketball
113276,Low,18 to 24,F,own,MMA
110223,150kplus,35-44,M,Owns,golf
100406,35-75k,70,M,,Basketball
103666,150k+,45-54,M,own,Basketball
106096,Low,18 to 24,M,,Baseball
102024,0-35k,18 to 24,M,,Baseball
119831,35-75k,18-24,F,tenant,golf
114213,Under35,25_34,M,rent,golf
108424,35-75k,45-54,F,own,Football
102271,35_75,55-64,M,Owns,Football
114062,75to150,18-24,F,owner,Soccer
114519,150k+,55-64,F,tenant,esports
114514,75to150,65+,F,,
109897,150k+,65+,F,own,Baseball
105258,150kplus,18 to 24,M,owner,motorsport
113314,150k+,18-24,M,owner,Soccer
106113,Low,25-34,F,Owns,tennis
101078,75to150,25_34,M,own,esports
112568,150k+,18 to 24,M,Owns,Football
113637,75-150k,35-44,F,,esports
107610,150kplus,25-34,F,owner,
101110,0-35k,45-54,M,own,Baseball
115566,75to150,25-34,M,own,Baseball
110962,HighIncome,65+,F,owner,Football
116583,35_75,70,F,Owns,esports
114055,MedHigh,25_34,M,owner,Football
110688,Under35,25-34,F,,Soccer
117468,150kplus,25-34,F,,MMA
110677,35_75,65+,M,own,tennis
105012,150k+,18-24,F,,motorsport
106343,HighIncome,55-64,M,,golf
104415,35_75,45-54,M,owner,MMA
102243,75to150,65+,F,rent,Soccer
103580,150k+,70,F,,Soccer
103668,35_75,65+,M,own,Basketball
108198,HighIncome,65+,F,own,esports
102996,MedHigh,55-64,F,rent,esports
118404,150k+,70,M,,motorsport
119736,150k+,70,F,own,Basketball
111019,0-35k,18-24,F,owner,Hockey
117984,75to150,65+,F,rent,Basketball
102260,150kplus,25_34,M,Owns,esports
105604,150k+,70,F,,esports
106322,0-35k,55-64,M,,golf
100174,150k+,18-24,F,tenant,Football
111760,MedHigh,35-44,M,,motorsport
101582,75-150k,25_34,M,owner,Basketball
101116,HighIncome,65+,F,Owns,MMA
101391,75-150k,70,F,owner,golf
113884,0-35k,25_34,F,own,Baseball
116400,35_75,45-54,F,,
100599,35-75k,65+,F,tenant,MMA
116034,Under35,25_34,M,,motorsport
110674,150kplus,35-44,F,tenant,
107367,35-75k,25_34,M,,Basketball
114875,35-75k,18-24,M,owner,Football
110708,HighIncome,65+,M,rent,Baseball
112143,Low,45-54,M,tenant,Football
117045,150kplus,65+,F,tenant,Baseball
101705,150k+,35-44,F,,Football
119242,150k+,45-54,M,,esports
118191,75to150,18 to 24,M,tenant,Basketball
106723,75-150k,18 to 24,M,owner,Basketball
111125,35-75k,25_34,M,,MMA
113049,35-75k,25-34,F,,Football
111910,0-35k,70,F,rent,esports
112675,35-75k,35-44,F,rent,Football
103687,Low,18-24,F,,motorsport
110799,Under35,70,M,rent,Soccer
102171,Low,18-24,F,rent,
119811,35-75k,18-24,M,,motorsport
112846,75-150k,25_34,M,tenant,esports
106383,150kplus,18 to 24,F,owner,motorsport
113270,75-150k,70,F,,golf
106524,35-75k,35-44,F,owner,Football
116036,75to150,65+,F,tenant,Basketball
106471,MedHigh,25-34,F,tenant,MMA
103523,150kplus,18-24,M,tenant,motorsport
101227,0-35k,25-34,M,own,Football
106963,Low,55-64,M,Owns,golf
112269,Under35,65+,M,Owns,Baseball
109645,35-75k,25_34,F,Owns,MMA
108701,HighIncome,70,M,rent,Basketball
112549,Under35,55-64,F,owner,motorsport
100754,150k+,35-44,O,Owns,tennis
115226,Low,18 to 24,F,own,golf
105942,Low,25_34,M,own,
101348,Under35,65+,M,own,
116726,150k+,45-54,M,owner,Soccer
112975,75-150k,18 to 24,M,own,tennis
103073,150k+,55-64,M,Owns,Basketball
116066,HighIncome,65+,O,rent,tennis
109281,150k+,18-24,M,Owns,esports
114078,Under35,55-64,M,owner,Basketball
105474,35_75,65+,F,Owns,esports
103748,75to150,55-64,M,rent,Baseball
117155,Under35,35-44,O,own,MMA
108967,150kplus,70,F,,MMA
112113,HighIncome,25_34,F,tenant,motorsport
101188,35-75k,18-24,M,rent,motorsport
948725,75-150k,18-24,F,Owns,Football
109147,MedHigh,18-24,M,,MMA
109978,150k+,35-44,F,own,
109783,75-150k,18-24,F,,Football
116136,0-35k,25-34,M,,Football
111013,150k+,70,F,owner,esports
115375,Under35,18-24,F,owner,Hockey
104448,Low,65+,M,own,MMA
101240,150kplus,18-24,F,,MMA
103429,150k+,25_34,F,tenant,golf
102545,Low,35-44,M,tenant,Football
107579,MedHigh,65+,M,Owns,tennis
106685,HighIncome,45-54,F,,Football
109180,150kplus,35-44,M,rent,Baseball
119441,35-75k,25_34,M,Owns,Football
101904,150k+,55-64,F,,Soccer
102976,HighIncome,45-54,M,owner,
110691,150k+,45-54,F,rent,tennis
101034,35-75k,25_34,M,owner,tennis
115446,75to150,65+,M,own,golf
110957,35_75,18 to 24,M,,tennis
119082,35_75,65+,,,esports
105207,150k+,35-44,M,rent,Football
108309,MedHigh,65+,M,rent,esports
118163,150kplus,55-64,F,owner,golf
119901,Low,18 to 24,F,tenant,golf
105789,HighIncome,25-34,F,Owns,MMA
100317,150k+,35-44,F,rent,MMA
115950,MedHigh,70,F,tenant,golf
109817,150k+,18 to 24,M,owner,Baseball
112098,Under35,45-54,M,Owns,motorsport
111232,75to150,18 to 24,M,owner,MMA
116279,75-150k,18 to 24,M,tenant,esports
107758,0-35k,18-24,F,rent,esports
100065,MedHigh,35-44,M,,Baseball
116453,150kplus,70,F,Owns,Baseball
116422,0-35k,35-44,F,tenant,Baseball
110455,35-75k,55-64,F,,MMA
