ScanId,Evt,Bc,ScanTs,Gate,Valid
9000086,EVT00036,B600048-1-930,1/2/2025 14:57,North,1
9000087,EVT00003,B600048-3-798,11/30/2024 5:16,G2,1
9000088,EVT00033,B600048-4-471,1/1/2025 18:13,Club,1
9000089,EVT00025,B600049-1-451,11/11/2024 1:24,G2,1
9000090,EVT00056,B600050-1-813,1/7/2025 11:46,VIP,1
9000091,EVT00046,B600050-2-612,1/7/2025 15:52,VIP,1
9000092,EVT00078,B600050-3-550,11/17/2024 13:29,G3,1
9000093,EVT00013,B600050-4-703,12/31/2024 13:30,G3,1
9000094,EVT00058,B600051-1-944,11/4/2024 13:50,G3,1
9000095,EVT00037,B600052-1-726,10/8/2024 23:39,G3,1
9000096,EVT00069,B600052-2-414,2/28/2025 10:30,South,1
9000097,EVT00004,B600053-1-594,3/23/2025 16:18,Club,1
9000098,EVT00049,B600054-1-596,1/22/2025 19:59,VIP,1
9000099,EVT00001,B600054-2-514,10/9/2024 5:17,G1,1
9000100,EVT00014,B600054-3-435,3/1/2025 10:27,G1,1
9000101,EVT00039,B600055-1-789,2/18/2025 6:27,G2,1
9000102,EVT00034,B600056-1-670,1/31/2025 2:17,Club,0
9000103,EVT00078,B600056-2-817,10/3/2024 7:57,South,1
9000104,EVT00010,B600056-3-762,12/24/2024 5:09,G1,1
9000105,EVT00057,B600056-4-409,3/31/2025 23:40,G3,1
9000106,EVT00002,B600057-1-731,2/18/2025 18:50,G3,1
9000107,EVT00013,B600057-2-604,2/24/2025 22:06,South,1
9000108,EVT00057,B600057-3-819,4/21/2025 6:43,North,1
9000109,EVT00073,B600058-1-186,1/14/2025 6:14,VIP,1
9000110,EVT00078,B600058-2-490,11/20/2024 13:46,North,1
9000111,EVT00005,B600059-1-122,12/24/2024 21:02,North,1
9000112,EVT00030,B600060-1-386,4/20/2025 22:27,Club,1
9000113,EVT00058,B600061-1-844,11/17/2024 8:52,South,1
9000114,EVT00076,B600062-1-682,12/26/2024 5:39,North,1
9000115,EVT00049,B600063-1-308,1/19/2025 9:39,South,1
9000116,EVT00048,B600063-2-831,11/17/2024 8:20,G1,1
9000117,EVT00035,B600063-3-804,2/25/2025 10:18,G2,1
9000118,EVT00059,B600064-1-554,2/3/2025 13:39,South,1
9000119,EVT00048,B600065-1-384,12/11/2024 6:50,G2,1
9000120,EVT00063,B600065-2-630,4/23/2025 7:55,VIP,1
9000121,EVT00079,B600066-1-423,1/31/2025 14:33,Club,1
9000122,EVT00005,B600066-2-469,3/11/2025 17:33,North,1
9000123,EVT00054,B600066-3-512,12/21/2024 12:27,G3,1
9000124,EVT00015,B600067-1-283,11/6/2024 11:45,G3,1
9000125,EVT00051,B600067-2-712,3/10/2025 0:02,North,0
9000126,EVT00032,B600068-1-950,1/11/2025 21:20,G1,1
9000127,EVT00067,B600068-2-870,3/14/2025 9:50,South,1
9000128,EVT00072,B600069-1-356,12/31/2024 9:00,G3,1
9000129,EVT00040,B600069-2-144,2/2/2025 8:09,VIP,1
9000130,EVT00051,B600069-3-520,10/28/2024 6:58,North,1
9000131,EVT00012,B600069-4-197,12/11/2024 18:55,G3,1
9000132,EVT00055,B600070-1-557,11/5/2024 23:27,VIP,1
9000133,EVT00021,B600070-2-582,1/31/2025 4:27,Club,1
9000134,EVT00046,B600070-3-447,10/16/2024 21:19,G2,1
9000135,EVT00070,B600071-1-413,12/17/2024 16:37,North,1
9000136,EVT00056,B600071-2-728,11/21/2024 19:37,South,1
9000137,EVT00056,B600071-3-202,3/11/2025 23:41,G2,1
9000138,EVT00053,B600071-4-101,12/23/2024 17:39,G1,1
9000139,EVT00025,B600072-2-609,11/24/2024 22:11,VIP,1
9000140,EVT00058,B600072-3-743,2/10/2025 20:14,South,1
9000141,EVT00003,B600073-1-247,4/7/2025 15:09,Club,1
9000142,EVT00024,B600074-2-451,4/21/2025 10:35,G2,1
9000143,EVT00059,B600074-4-954,1/13/2025 19:57,G2,1
9000144,EVT00009,B600074-5-607,3/15/2025 10:33,VIP,1
9000145,EVT00040,B600075-1-335,10/24/2024 11:39,G1,1
9000146,EVT00032,B600077-1-554,11/27/2024 23:54,G1,1
9000147,EVT00022,B600077-2-610,10/16/2024 23:09,Club,1
9000148,EVT00067,B600077-3-935,12/20/2024 10:06,G1,1
9000149,EVT00030,B600078-1-270,11/12/2024 19:27,G2,1
9000150,EVT00053,B600079-1-987,12/30/2024 10:13,G3,1
9000151,EVT00049,B600080-1-576,10/23/2024 15:30,VIP,1
9000152,EVT00066,B600080-2-715,11/19/2024 5:12,VIP,1
9000153,EVT00038,B600080-3-588,2/26/2025 16:58,VIP,1
9000154,EVT00024,B600081-1-339,10/17/2024 0:55,G3,1
9000155,EVT00040,B600081-2-293,12/13/2024 6:45,G1,1
9000156,EVT00040,B600082-1-237,12/19/2024 6:35,G3,1
9000157,EVT00016,B600082-2-583,1/25/2025 22:46,G2,1
9000158,EVT00024,B600083-1-540,4/15/2025 7:56,South,1
9000159,EVT00064,B600083-2-559,12/2/2024 16:04,Club,1
9000160,EVT00073,B600084-1-544,12/29/2024 4:55,South,1
9000161,EVT00053,B600084-2-684,1/4/2025 23:03,G3,1
9000162,EVT00019,B600085-1-415,12/13/2024 10:28,North,1
9000163,EVT00002,B600086-1-353,11/25/2024 2:49,Club,1
9000164,EVT00025,B600086-2-308,1/10/2025 16:59,Club,1
9000165,EVT00063,B600087-1-370,1/11/2025 2:58,South,1
9000166,EVT00053,B600088-1-379,3/31/2025 12:13,South,1
9000167,EVT00023,B600089-2-826,11/21/2024 12:03,South,1
9000168,EVT00016,B600090-1-225,12/20/2024 6:53,Club,1
9000169,EVT00064,B600091-1-512,11/2/2024 9:54,VIP,1
9000170,EVT00055,B600092-1-354,11/3/2024 19:01,North,1
9000171,EVT00015,B600093-1-478,2/18/2025 11:57,G3,1
9000172,EVT00003,B600095-1-139,10/25/2024 3:08,South,1
9000173,EVT00047,B600096-1-583,12/4/2024 12:32,G2,1
9000174,EVT00049,B600097-1-724,11/2/2024 16:30,G1,1
9000175,EVT00047,B600098-1-138,4/19/2025 0:31,Club,1
9000176,EVT00044,B600098-2-689,11/30/2024 13:16,G3,1
9000177,EVT00001,B600099-1-723,11/19/2024 6:05,G1,1
9000178,EVT00068,B600099-2-345,1/6/2025 18:30,VIP,1
9000179,EVT00054,B600100-2-176,12/19/2024 7:07,VIP,1
9000180,EVT00025,B600102-2-679,12/15/2024 14:30,G3,1
9000181,EVT00049,B600103-1-124,2/21/2025 13:59,G3,1
9000182,EVT00036,B600103-2-995,12/4/2024 20:34,South,1
9000183,EVT00073,B600103-3-169,12/22/2024 23:01,Club,1
9000184,EVT00024,B600103-4-178,3/15/2025 9:39,Club,1
9000185,EVT00009,B600104-1-749,1/24/2025 22:27,G3,1
9000186,EVT00072,B600104-2-839,2/8/2025 15:20,South,1
9000187,EVT00066,B600105-1-184,11/29/2024 6:19,G3,1
9000188,EVT00053,B600105-2-185,1/14/2025 3:39,G3,1
9000189,EVT00065,B600106-1-294,4/9/2025 13:23,G2,1
9000190,EVT00060,B600107-1-390,11/17/2024 16:00,G2,1
9000191,EVT00042,B600107-2-745,12/14/2024 19:04,South,1
9000192,EVT00039,B600107-3-466,4/29/2025 15:10,South,1
9000193,EVT00059,B600107-4-512,10/25/2024 13:24,G2,1
9000194,EVT00020,B600108-1-549,1/14/2025 5:32,G3,1
9000195,EVT00016,B600108-2-320,2/19/2025 20:34,G3,1
9000196,EVT00064,B600109-1-491,12/29/2024 21:10,G2,1
9000197,EVT00060,B600109-2-944,1/23/2025 23:18,G3,1
9000198,EVT00078,B600110-1-502,2/17/2025 19:08,Club,1
9000199,EVT00073,B600111-1-465,11/23/2024 6:39,G3,1
9000200,EVT00031,B600112-1-664,11/1/2024 21:08,G2,1
9000201,EVT00079,B600112-2-819,10/10/2024 13:51,South,1
9000202,EVT00021,B600113-1-330,12/14/2024 18:02,G2,1
9000203,EVT00078,B600114-1-855,10/31/2024 22:30,VIP,1
9000204,EVT00037,B600115-1-270,10/31/2024 13:41,G3,1
9000205,EVT00016,B600115-2-495,10/17/2024 2:52,G1,1
9000206,EVT00060,B600116-1-331,11/18/2024 12:12,G1,1
9000207,EVT00004,B600116-2-610,1/25/2025 0:33,VIP,1
9000208,EVT00039,B600117-1-525,10/12/2024 14:01,North,1
9000209,EVT00039,B600117-2-133,3/11/2025 4:58,South,1
9000210,EVT00064,B600117-3-387,3/21/2025 15:11,G1,1
9000211,EVT00004,B600118-1-540,11/16/2024 13:49,G1,1
9000212,EVT00070,B600118-2-836,4/15/2025 1:31,Club,1
9000213,EVT00030,B600118-3-309,1/12/2025 17:38,North,1
9000214,EVT00021,B600119-1-156,4/10/2025 7:55,VIP,1
9000215,EVT00036,B600119-2-693,10/17/2024 2:46,G3,1
9000216,EVT00001,B600120-1-697,10/28/2024 10:45,North,1
9000217,EVT00071,B600121-1-868,12/12/2024 6:34,Club,1
9000218,EVT00046,B600121-2-188,11/9/2024 22:47,VIP,1
9000219,EVT00034,B600121-3-900,11/14/2024 21:51,VIP,1
9000220,EVT00025,B600122-1-113,2/16/2025 10:48,VIP,1
9000221,EVT00056,B600122-3-998,2/11/2025 22:34,South,1
9000222,EVT00064,B600123-1-916,12/29/2024 0:14,North,1
9000223,EVT00020,B600123-2-838,2/8/2025 0:10,North,1
9000224,EVT00017,B600124-1-727,10/11/2024 21:34,G1,1
9000225,EVT00051,B600124-2-983,1/5/2025 12:48,G1,1
9000226,EVT00037,B600125-1-776,10/31/2024 17:50,G2,1
9000227,EVT00075,B600125-2-892,11/23/2024 13:48,G2,1
9000228,EVT00006,B600126-1-832,4/30/2025 19:22,North,1
9000229,EVT00077,B600126-2-229,10/14/2024 5:52,G2,1
9000230,EVT00023,B600127-1-411,4/16/2025 16:10,South,1
9000231,EVT00015,B600127-2-969,10/8/2024 0:23,G3,1
9000232,EVT00057,B600127-3-317,2/13/2025 0:25,G1,1
9000233,EVT00045,B600128-1-550,1/17/2025 16:51,Club,1
9000234,EVT00077,B600128-2-669,4/8/2025 9:11,G2,1
9000235,EVT00041,B600128-3-337,12/5/2024 7:03,North,1
9000236,EVT00032,B600129-2-823,11/5/2024 16:48,G3,1
9000237,EVT00002,B600130-1-353,4/11/2025 19:38,G1,0
9000238,EVT00003,B600131-2-871,3/14/2025 19:08,G1,1
9000239,EVT00073,B600132-1-183,4/27/2025 9:53,G1,1
9000240,EVT00067,B600133-1-692,11/21/2024 23:26,Club,1
9000241,EVT00054,B600133-2-427,4/25/2025 21:14,G2,1
9000242,EVT00030,B600133-3-163,3/2/2025 0:13,South,1
9000243,EVT00007,B600134-1-898,10/30/2024 22:58,G3,1
9000244,EVT00008,B600135-1-725,1/17/2025 23:47,South,1
9000245,EVT00042,B600135-2-427,2/13/2025 17:39,G1,1
9000246,EVT00027,B600136-1-497,3/26/2025 16:57,North,1
9000247,EVT00080,B600136-2-814,2/19/2025 1:21,G1,1
9000248,EVT00004,B600136-3-104,10/3/2024 0:21,VIP,1
9000249,EVT00076,B600136-4-537,2/23/2025 7:40,G3,1
9000250,EVT00062,B600137-1-696,3/2/2025 12:55,Club,1
9000251,EVT00011,B600138-1-367,10/15/2024 0:45,G2,1
9000252,EVT00028,B600138-2-166,4/27/2025 8:06,G2,1
9000253,EVT00019,B600138-3-585,1/9/2025 2:03,Club,1
9000254,EVT00066,B600138-4-739,12/23/2024 1:21,VIP,1
9000255,EVT00078,B600139-1-741,10/3/2024 18:04,South,1
9000256,EVT00070,B600139-2-381,4/17/2025 20:28,South,1
9000257,EVT00059,B600140-1-746,11/30/2024 13:51,G2,1
9000258,EVT00062,B600140-2-768,4/14/2025 10:14,G3,1
9000259,EVT00065,B600141-1-114,2/5/2025 20:55,G3,1
9000260,EVT00016,B600141-2-123,10/18/2024 13:49,VIP,1
9000261,EVT00053,B600142-2-226,3/18/2025 8:47,G1,1
9000262,EVT00074,B600143-1-698,10/31/2024 15:47,Club,1
9000263,EVT00013,B600143-2-536,1/24/2025 15:33,South,1
9000264,EVT00053,B600144-1-882,2/7/2025 7:36,North,1
9000265,EVT00025,B600144-2-338,12/23/2024 15:33,G2,1
9000266,EVT00068,B600145-1-365,2/25/2025 2:35,G2,1
9000267,EVT00018,B600146-1-386,3/13/2025 16:50,South,1
9000268,EVT00072,B600146-2-316,2/17/2025 23:26,South,1
9000269,EVT00061,B600146-3-440,1/10/2025 20:44,G2,1
9000270,EVT00052,B600147-1-743,12/3/2024 22:18,Club,1
9000271,EVT00065,B600147-2-126,12/22/2024 7:57,Club,1
9000272,EVT00080,B600147-3-930,11/28/2024 12:36,G3,1
9000273,EVT00046,B600148-1-779,11/30/2024 7:50,Club,1
9000274,EVT00055,B600148-2-246,11/26/2024 4:26,Club,1
9000275,EVT00065,B600148-3-355,10/17/2024 15:03,Club,1
9000276,EVT00041,B600149-1-624,4/12/2025 8:54,G1,1
9000277,EVT00013,B600150-1-495,10/14/2024 23:52,G1,1
9000278,EVT00057,B600150-2-367,3/12/2025 10:35,North,1
9000279,EVT00043,B600151-1-501,4/11/2025 0:08,G3,1
9000280,EVT00033,B600151-2-264,11/17/2024 10:37,G1,1
9000281,EVT00047,B600151-3-321,3/4/2025 12:59,G2,1
9000282,EVT00009,B600152-1-436,3/30/2025 16:36,Club,1
9000283,EVT00021,B600152-2-604,3/2/2025 12:25,G2,1
9000284,EVT00069,B600153-1-222,11/5/2024 0:49,G2,1
9000285,EVT00013,B600153-2-264,10/28/2024 20:58,G2,1
9000286,EVT00012,B600154-1-570,3/26/2025 0:36,North,1
9000287,EVT00033,B600155-1-656,1/31/2025 21:06,G3,1
9000288,EVT00034,B600155-2-681,12/24/2024 20:26,South,1
9000289,EVT00034,B600156-1-624,3/3/2025 14:19,North,1
9000290,EVT00008,B600157-1-243,12/11/2024 11:12,VIP,1
9000291,EVT00014,B600157-2-227,12/23/2024 7:46,G2,1
9000292,EVT00034,B600158-1-945,2/4/2025 13:53,North,1
9000293,EVT00022,B600158-2-666,11/17/2024 17:46,Club,1
9000294,EVT00006,B600159-1-969,4/5/2025 0:01,North,1
9000295,EVT00023,B600159-2-964,3/20/2025 8:44,South,1
9000296,EVT00076,B600160-1-746,2/13/2025 12:47,South,1
9000297,EVT00039,B600160-2-754,3/27/2025 7:41,G3,1
9000298,EVT00061,B600161-1-561,4/17/2025 23:01,South,1
9000299,EVT00001,B600161-3-662,2/16/2025 6:12,G1,1
9000300,EVT00064,B600163-1-245,10/9/2024 9:11,North,1
9000301,EVT00031,B600163-2-288,11/26/2024 10:07,North,1
9000302,EVT00026,B600164-1-224,1/10/2025 2:50,North,1
9000303,EVT00073,B600164-2-870,3/13/2025 17:51,North,1
9000304,EVT00063,B600164-3-824,1/9/2025 7:21,Club,1
9000305,EVT00033,B600164-4-908,12/5/2024 6:32,G3,1
9000306,EVT00006,B600165-2-871,11/7/2024 22:46,G2,1
9000307,EVT00052,B600166-1-448,3/20/2025 8:17,Club,1
9000308,EVT00013,B600166-2-519,12/7/2024 4:52,Club,1
9000309,EVT00027,B600167-1-915,10/13/2024 0:17,South,1
9000310,EVT00055,B600168-1-493,3/25/2025 21:57,South,1
9000311,EVT00076,B600169-1-977,10/24/2024 11:09,Club,1
9000312,EVT00051,B600170-1-912,3/6/2025 22:55,G1,1
9000313,EVT00034,B600170-2-324,1/19/2025 6:12,G1,1
9000314,EVT00015,B600170-3-396,12/7/2024 14:22,G2,1
9000315,EVT00033,B600170-4-382,1/16/2025 6:26,VIP,1
9000316,EVT00075,B600171-1-169,11/9/2024 23:15,South,1
9000317,EVT00045,B600171-2-617,10/10/2024 16:00,Club,1
9000318,EVT00021,B600171-3-345,4/15/2025 18:23,G3,1
9000319,EVT00053,B600172-1-689,12/20/2024 14:15,South,1
9000320,EVT00035,B600172-2-565,1/21/2025 1:22,North,1
9000321,EVT00076,B600173-1-277,3/12/2025 14:20,G1,1
9000322,EVT00044,B600173-2-403,3/24/2025 4:06,VIP,1
9000323,EVT00042,B600174-1-182,1/23/2025 2:00,VIP,1
9000324,EVT00010,B600174-2-707,12/27/2024 3:50,G1,1
9000325,EVT00040,B600174-3-842,10/3/2024 5:21,G2,1
9000326,EVT00017,B600175-1-219,1/3/2025 1:13,Club,1
9000327,EVT00065,B600176-2-195,2/9/2025 17:37,North,1
9000328,EVT00018,B600176-3-949,12/19/2024 4:19,VIP,1
9000329,EVT00042,B600176-4-328,2/7/2025 20:36,G2,1
9000330,EVT00060,B600177-1-591,11/11/2024 23:48,North,1
9000331,EVT00034,B600178-1-173,11/11/2024 12:12,North,1
9000332,EVT00028,B600179-1-312,10/4/2024 23:30,Club,1
9000333,EVT00039,B600179-2-169,11/14/2024 3:54,G2,1
9000334,EVT00042,B600179-3-485,1/27/2025 0:53,G2,1
9000335,EVT00002,B600180-1-137,1/31/2025 4:39,G1,1
9000336,EVT00002,B600180-2-491,12/3/2024 15:42,G1,1
9000337,EVT00013,B600180-3-289,3/27/2025 0:46,G3,1
9000338,EVT00077,B600181-1-482,1/5/2025 3:50,G3,1
9000339,EVT00053,B600181-2-782,10/22/2024 7:28,VIP,1
9000340,EVT00074,B600181-3-466,10/13/2024 8:36,South,1
9000341,EVT00049,B600182-1-205,10/2/2024 17:59,North,1
9000342,EVT00043,B600182-2-830,4/14/2025 10:05,G1,1
9000343,EVT00059,B600183-1-727,3/22/2025 18:18,G2,1
9000344,EVT00017,B600183-2-872,11/3/2024 12:07,VIP,1
9000345,EVT00053,B600184-1-992,12/9/2024 17:53,G2,1
9000346,EVT00057,B600185-1-216,2/6/2025 12:19,North,1
9000347,EVT00055,B600185-2-579,1/26/2025 3:42,G3,1
9000348,EVT00006,B600186-1-348,2/15/2025 6:47,VIP,1
9000349,EVT00073,B600186-2-504,12/12/2024 14:29,VIP,1
9000350,EVT00057,B600186-3-111,2/17/2025 9:25,G1,1
9000351,EVT00056,B600187-1-988,2/7/2025 23:51,G1,1
9000352,EVT00044,B600188-1-443,4/22/2025 22:08,North,1
9000353,EVT00049,B600188-2-154,10/18/2024 6:03,VIP,1
9000354,EVT00012,B600189-1-768,3/24/2025 5:33,South,1
9000355,EVT00004,B600190-2-123,3/26/2025 9:50,North,1
9000356,EVT00050,B600191-1-285,2/5/2025 11:36,Club,1
9000357,EVT00030,B600191-2-708,12/23/2024 7:25,G2,1
9000358,EVT00014,B600192-1-981,3/27/2025 16:45,North,1
9000359,EVT00016,B600192-2-191,10/26/2024 22:57,South,1
9000360,EVT00002,B600193-1-882,1/16/2025 0:24,G1,1
9000361,EVT00074,B600194-1-192,12/30/2024 21:39,North,1
9000362,EVT00040,B600195-1-247,4/10/2025 1:15,G3,1
9000363,EVT00079,B600195-2-897,1/8/2025 9:56,North,1
9000364,EVT00058,B600195-3-653,1/2/2025 6:13,VIP,1
9000365,EVT00070,B600195-4-100,3/31/2025 3:20,Club,1
9000366,EVT00041,B600196-1-854,12/7/2024 20:06,North,1
9000367,EVT00062,B600196-2-958,4/15/2025 14:32,VIP,1
9000368,EVT00021,B600197-1-867,11/8/2024 15:41,Club,1
9000369,EVT00012,B600197-2-592,3/15/2025 17:22,G3,1
9000370,EVT00057,B600198-1-879,2/22/2025 6:52,G1,1
9000371,EVT00013,B600199-1-682,10/5/2024 3:26,Club,1
9000372,EVT00024,B600199-2-905,2/16/2025 10:26,Club,1
9000373,EVT00057,B600200-1-334,2/24/2025 23:21,G1,1
9000374,EVT00002,B600200-2-843,3/21/2025 11:43,South,1
9000375,EVT00052,B600201-1-148,10/8/2024 21:06,G3,1
9000376,EVT00028,B600202-1-727,2/19/2025 10:05,South,1
9000377,EVT00059,B600203-1-644,3/17/2025 1:57,G1,1
9000378,EVT00058,B600204-1-521,11/24/2024 6:12,G2,1
9000379,EVT00077,B600204-2-388,1/27/2025 16:17,G1,1
9000380,EVT00013,B600205-1-484,4/2/2025 0:35,VIP,1
9000381,EVT00038,B600205-2-595,1/21/2025 21:05,Club,1
9000382,EVT00044,B600205-3-879,11/3/2024 23:40,Club,1
9000383,EVT00045,B600206-2-806,11/1/2024 20:54,G1,1
9000384,EVT00079,B600206-3-550,1/18/2025 2:45,G2,1
9000385,EVT00079,B600206-4-141,3/24/2025 3:11,North,1
9000386,EVT00014,B600207-1-655,12/29/2024 8:07,South,1
9000387,EVT00006,B600208-1-482,11/7/2024 21:43,G3,1
9000388,EVT00033,B600208-2-598,12/7/2024 4:55,G1,1
9000389,EVT00073,B600209-1-782,10/24/2024 23:06,Club,1
9000390,EVT00034,B600210-1-165,10/21/2024 4:23,G1,1
9000391,EVT00057,B600211-1-718,11/24/2024 19:31,G2,1
9000392,EVT00064,B600213-1-826,2/13/2025 17:51,Club,1
9000393,EVT00006,B600213-2-381,1/25/2025 21:59,North,1
9000394,EVT00011,B600214-1-979,4/4/2025 0:23,North,1
9000395,EVT00034,B600215-1-815,11/26/2024 21:57,G3,1
9000396,EVT00076,B600216-1-554,12/26/2024 13:46,G3,1
9000397,EVT00070,B600217-1-386,4/4/2025 4:49,South,1
9000398,EVT00017,B600217-2-356,10/17/2024 21:56,G2,1
9000399,EVT00029,B600218-2-526,10/6/2024 1:12,G2,1
9000400,EVT00019,B600219-1-970,10/23/2024 10:51,VIP,1
9000401,EVT00016,B600219-2-838,12/15/2024 8:46,G3,1
9000402,EVT00067,B600220-1-627,3/9/2025 12:24,North,1
9000403,EVT00052,B600221-1-227,2/28/2025 17:08,G2,1
9000404,EVT00072,B600221-2-375,3/17/2025 16:06,VIP,1
9000405,EVT00008,B600222-1-914,12/10/2024 21:51,North,1
9000406,EVT00007,B600223-1-118,2/12/2025 14:33,North,1
9000407,EVT00068,B600223-2-985,2/2/2025 20:29,G1,1
9000408,EVT00057,B600224-1-781,11/15/2024 21:02,Club,1
9000409,EVT00050,B600224-2-920,1/23/2025 1:45,VIP,1
9000410,EVT00023,B600225-1-228,12/11/2024 0:51,VIP,1
9000411,EVT00078,B600225-2-219,12/1/2024 21:40,South,1
