ItemId,OrdId,EvtId,TktType,Sect,Rw,Seat,Price,Barcode
7000147,600071,EVT00056,youth,GA,D,,38.01,B600071-3-202
7000148,600071,EVT00053,youth,104,B,23,31.17,B600071-4-101
7000149,600072,EVT00030,single,106,E,11,38.88,B600072-1-390
7000150,600072,EVT00025,single,,E,12,71.97,B600072-2-609
7000151,600072,EVT00058,single,105,B,22,58.64,B600072-3-743
7000152,600073,EVT00003,season,105,E,8,17.43,B600073-1-247
7000153,600074,EVT00070,single,102,D,24,10.1,B600074-1-632
7000154,600074,EVT00024,season,,E,26,16.64,B600074-2-451
7000155,600074,EVT00064,season,GA,B,,52.37,B600074-3-334
7000156,600074,EVT00059,season,105,C,16,48.61,B600074-4-954
7000157,600074,EVT00009,season,GA,E,,53.5,B600074-5-607
7000158,600075,EVT00040,single,102,,9,113.33,B600075-1-335
7000159,600076,EVT00027,single,GA,C,,94.84,B600076-1-181
7000160,600077,EVT00032,single,101,,12,42.35,B600077-1-554
7000161,600077,EVT00022,single,GA,B,,11.18,B600077-2-610
7000162,600077,EVT00067,single,GA,A,,35.08,B600077-3-935
7000163,600078,EVT00030,single,GA,E,,174.59,B600078-1-270
7000164,600079,EVT00053,single,GA,D,,94.93,B600079-1-987
7000165,600080,EVT00049,single,GA,D,,28.24,B600080-1-576
7000166,600080,EVT00066,single,105,C,12,34.03,B600080-2-715
7000167,600080,EVT00038,single,105,A,24,31.98,B600080-3-588
7000168,600081,EVT00024,vip,,E,30,47.74,B600081-1-339
7000169,600081,EVT00040,single,GA,A,,82.32,B600081-2-293
7000170,600082,EVT00040,single,,D,10,56.5,B600082-1-237
7000171,600082,EVT00016,single,,E,15,22.11,B600082-2-583
7000172,600082,EVT00074,single,101,,7,61.73,B600082-3-150
7000173,600083,EVT00024,season,GA,D,,51.41,B600083-1-540
7000174,600083,EVT00064,season,104,B,1,45.12,B600083-2-559
7000175,600083,EVT00049,single,104,,28,25.73,B600083-3-548
7000176,600084,EVT00073,single,101,E,21,26.54,B600084-1-544
7000177,600084,EVT00053,single,102,C,27,26.15,B600084-2-684
7000178,600085,EVT00019,single,GA,B,,123.63,B600085-1-415
7000179,600086,EVT00002,single,105,D,18,20.63,B600086-1-353
7000180,600086,EVT00025,vip,106,C,21,23,B600086-2-308
7000181,600087,EVT00063,single,106,D,24,25.92,B600087-1-370
7000182,600088,EVT00053,single,105,C,9,37.92,B600088-1-379
7000183,600089,EVT00051,season,106,B,6,10.71,B600089-1-853
7000184,600089,EVT00023,single,105,D,18,11.4,B600089-2-826
7000185,600090,EVT00016,single,,A,22,158.1,B600090-1-225
7000186,600091,EVT00064,single,,A,14,215.23,B600091-1-512
7000187,600092,EVT00055,season,101,E,8,114.25,B600092-1-354
7000188,600093,EVT00015,single,106,B,5,103.87,B600093-1-478
7000189,600094,EVT00065,vip,102,E,18,164,B600094-1-691
7000190,600095,EVT00003,single,104,,30,116.98,B600095-1-139
7000191,600095,EVT00019,single,105,D,2,119.44,B600095-2-643
7000192,600096,EVT00047,single,104,A,7,128.87,B600096-1-583
7000193,600097,EVT00049,single,,D,27,36.9,B600097-1-724
7000194,600097,EVT00022,single,104,C,18,200.48,B600097-2-313
7000195,600098,EVT00047,season,GA,D,,59.51,B600098-1-138
7000196,600098,EVT00044,youth,105,B,7,65.76,B600098-2-689
7000197,600099,EVT00001,single,103,E,30,127.17,B600099-1-723
7000198,600099,EVT00068,single,,,18,83.29,B600099-2-345
7000199,600100,EVT00053,comp,103,C,26,0,B600100-1-895
7000200,600100,EVT00054,single,,D,5,98.6,B600100-2-176
7000201,600101,EVT00020,single,101,,16,81.89,B600101-1-228
7000202,600102,EVT00075,youth,106,C,20,91.35,B600102-1-411
7000203,600102,EVT00025,single,GA,C,,154.88,B600102-2-679
7000204,600103,EVT00049,comp,104,E,6,0,B600103-1-124
7000205,600103,EVT00036,single,102,,12,9.43,B600103-2-995
7000206,600103,EVT00073,single,103,E,2,35.85,B600103-3-169
7000207,600103,EVT00024,single,101,D,13,56.96,B600103-4-178
7000208,600104,EVT00009,single,,B,8,138.74,B600104-1-749
7000209,600104,EVT00072,single,105,B,3,83.31,B600104-2-839
7000210,600105,EVT00066,single,101,A,21,154.06,B600105-1-184
7000211,600105,EVT00053,single,103,E,20,95.89,B600105-2-185
7000212,600106,EVT00065,single,102,E,24,171.19,B600106-1-294
7000213,600107,EVT00060,single,101,E,14,30.5,B600107-1-390
7000214,600107,EVT00042,single,106,B,25,22.95,B600107-2-745
7000215,600107,EVT00039,single,GA,E,,29.08,B600107-3-466
7000216,600107,EVT00059,single,104,,18,13.84,B600107-4-512
7000217,600108,EVT00020,single,104,D,17,88.14,B600108-1-549
7000218,600108,EVT00016,single,104,D,14,52.79,B600108-2-320
7000219,600109,EVT00064,single,GA,,,23.23,B600109-1-491
7000220,600109,EVT00060,single,106,A,3,28.47,B600109-2-944
7000221,600110,EVT00078,season,104,C,14,222.25,B600110-1-502
7000222,600111,EVT00073,single,106,C,14,62.53,B600111-1-465
7000223,600112,EVT00031,single,,D,20,88.59,B600112-1-664
7000224,600112,EVT00079,single,,A,22,38.59,B600112-2-819
7000225,600113,EVT00021,single,104,C,9,18,B600113-1-330
7000226,600113,EVT00016,single,106,D,14,53.8,B600113-2-905
7000227,600114,EVT00078,single,102,D,2,184.14,B600114-1-855
7000228,600115,EVT00037,single,105,C,2,48.84,B600115-1-270
7000229,600115,EVT00016,season,103,A,24,48.37,B600115-2-495
7000230,600116,EVT00060,single,103,B,26,63.5,B600116-1-331
7000231,600116,EVT00004,single,106,A,27,48.74,B600116-2-610
7000232,600117,EVT00039,vip,106,E,19,8.91,B600117-1-525
7000233,600117,EVT00039,season,102,D,10,6.42,B600117-2-133
7000234,600117,EVT00064,season,106,E,23,4.39,B600117-3-387
7000235,600117,EVT00037,season,105,D,28,4.32,B600117-4-630
7000236,600118,EVT00004,season,105,D,24,21.38,B600118-1-540
7000237,600118,EVT00070,season,104,B,13,21.26,B600118-2-836
7000238,600118,EVT00030,season,104,C,26,43.96,B600118-3-309
7000239,600119,EVT00021,single,104,B,13,88.64,B600119-1-156
7000240,600119,EVT00036,single,104,C,27,78.98,B600119-2-693
7000241,600120,EVT00001,season,106,C,23,194.68,B600120-1-697
7000242,600121,EVT00071,season,105,B,13,84.87,B600121-1-868
7000243,600121,EVT00046,single,,B,16,94.73,B600121-2-188
7000244,600121,EVT00034,season,,E,8,63.46,B600121-3-900
7000245,600122,EVT00025,single,103,,29,47.89,B600122-1-113
7000246,600122,EVT00033,single,103,,19,31.29,B600122-2-318
7000247,600122,EVT00056,single,101,C,27,42.65,B600122-3-998
7000248,600123,EVT00064,season,GA,,,84.69,B600123-1-916
7000249,600123,EVT00020,comp,104,C,24,0,B600123-2-838
7000250,600124,EVT00017,single,102,D,24,27.54,B600124-1-727
7000251,600124,EVT00051,single,103,B,21,95.34,B600124-2-983
7000252,600125,EVT00037,single,102,D,20,98.44,B600125-1-776
7000253,600125,EVT00075,comp,104,,3,0,B600125-2-892
7000254,600126,EVT00006,vip,103,A,23,121.45,B600126-1-832
7000255,600126,EVT00077,single,103,D,26,102.85,B600126-2-229
7000256,600127,EVT00023,single,106,A,23,88.73,B600127-1-411
7000257,600127,EVT00015,single,,C,22,77.41,B600127-2-969
7000258,600127,EVT00057,single,GA,B,,78.98,B600127-3-317
7000259,600128,EVT00045,single,,D,18,11.61,B600128-1-550
7000260,600128,EVT00077,single,105,,2,39.87,B600128-2-669
7000261,600128,EVT00041,single,104,D,12,47.56,B600128-3-337
7000262,600129,EVT00044,single,102,D,21,88.26,B600129-1-155
7000263,600129,EVT00032,single,,E,28,49.21,B600129-2-823
7000264,600130,EVT00002,single,,D,4,141.39,B600130-1-353
7000265,600131,EVT00049,single,103,,29,103.82,B600131-1-341
7000266,600131,EVT00003,single,GA,,,145.97,B600131-2-871
7000267,600132,EVT00073,youth,GA,B,,79.19,B600132-1-183
7000268,600133,EVT00067,single,GA,A,,17.81,B600133-1-692
7000269,600133,EVT00054,single,,A,25,29.81,B600133-2-427
7000270,600133,EVT00030,single,103,B,7,29.89,B600133-3-163
7000271,600134,EVT00007,single,102,D,27,100.5,B600134-1-898
7000272,600135,EVT00008,single,106,B,6,14.71,B600135-1-725
7000273,600135,EVT00042,youth,104,,12,76.39,B600135-2-427
7000274,600136,EVT00027,youth,102,D,17,24.23,B600136-1-497
7000275,600136,EVT00080,single,103,D,23,27.8,B600136-2-814
7000276,600136,EVT00004,single,103,D,19,45.03,B600136-3-104
7000277,600136,EVT00076,vip,106,A,9,54.64,B600136-4-537
7000278,600137,EVT00062,single,103,A,29,234.35,B600137-1-696
7000279,600138,EVT00011,single,103,E,18,19.34,B600138-1-367
7000280,600138,EVT00028,single,101,A,17,65.47,B600138-2-166
7000281,600138,EVT00019,single,,D,2,57.42,B600138-3-585
7000282,600138,EVT00066,youth,105,E,14,46.83,B600138-4-739
7000283,600139,EVT00078,single,GA,C,,121.71,B600139-1-741
7000284,600139,EVT00070,youth,101,D,25,108.1,B600139-2-381
7000285,600140,EVT00059,season,105,C,22,40.48,B600140-1-746
7000286,600140,EVT00062,season,103,E,7,81,B600140-2-768
7000287,600141,EVT00065,single,102,D,29,159.04,B600141-1-114
7000288,600141,EVT00016,single,103,C,9,41.2,B600141-2-123
7000289,600142,EVT00008,vip,106,B,30,66.33,B600142-1-133
7000290,600142,EVT00053,single,,D,20,73.95,B600142-2-226
7000291,600143,EVT00074,vip,101,E,29,117.32,B600143-1-698
7000292,600143,EVT00013,season,103,B,5,124.29,B600143-2-536
7000293,600144,EVT00053,youth,103,E,26,8.19,B600144-1-882
7000294,600144,EVT00025,single,,C,26,9.59,B600144-2-338
7000295,600145,EVT00068,single,103,D,12,85.7,B600145-1-365
7000296,600146,EVT00018,single,102,B,27,25.37,B600146-1-386
7000297,600146,EVT00072,single,105,E,18,14.44,B600146-2-316
7000298,600146,EVT00061,single,105,B,3,14.13,B600146-3-440
7000299,600147,EVT00052,single,102,B,4,40.38,B600147-1-743
7000300,600147,EVT00065,single,104,A,16,53.76,B600147-2-126
7000301,600147,EVT00080,single,104,A,13,115.29,B600147-3-930
7000302,600148,EVT00046,single,103,C,28,28.25,B600148-1-779
7000303,600148,EVT00055,single,GA,,,54.23,B600148-2-246
7000304,600148,EVT00065,single,103,,29,26.85,B600148-3-355
7000305,600149,EVT00041,youth,106,B,14,248.1,B600149-1-624
7000306,600150,EVT00013,single,102,E,3,15.54,B600150-1-495
7000307,600150,EVT00057,single,106,B,11,36.36,B600150-2-367
7000308,600150,EVT00077,single,103,E,3,38.37,B600150-3-218
7000309,600151,EVT00043,single,GA,C,,8.78,B600151-1-501
7000310,600151,EVT00033,comp,105,C,16,0,B600151-2-264
7000311,600151,EVT00047,single,101,E,4,37.36,B600151-3-321
7000312,600152,EVT00009,single,103,A,1,150.92,B600152-1-436
7000313,600152,EVT00021,vip,,C,6,40.81,B600152-2-604
7000314,600153,EVT00069,single,106,B,2,5.27,B600153-1-222
7000315,600153,EVT00013,vip,102,,27,12.03,B600153-2-264
7000316,600154,EVT00012,single,104,C,15,61.31,B600154-1-570
7000317,600155,EVT00033,single,,D,7,18.11,B600155-1-656
7000318,600155,EVT00034,single,GA,D,,32.4,B600155-2-681
7000319,600156,EVT00034,single,106,E,24,207.63,B600156-1-624
7000320,600157,EVT00008,single,GA,C,,16.51,B600157-1-243
7000321,600157,EVT00014,single,101,B,30,32.95,B600157-2-227
7000322,600158,EVT00034,single,,E,6,67.31,B600158-1-945
7000323,600158,EVT00022,single,105,A,12,30.76,B600158-2-666
7000324,600159,EVT00006,single,104,B,27,94.38,B600159-1-969
7000325,600159,EVT00023,season,,D,24,43.81,B600159-2-964
7000326,600160,EVT00076,single,106,,20,106.42,B600160-1-746
7000327,600160,EVT00039,single,GA,,,81.29,B600160-2-754
7000328,600161,EVT00061,single,101,,1,26.73,B600161-1-561
7000329,600161,EVT00038,single,101,B,17,28.21,B600161-2-918
7000330,600161,EVT00001,single,,D,25,69.47,B600161-3-662
7000331,600162,EVT00013,youth,105,B,2,62.56,B600162-1-994
7000332,600163,EVT00064,single,GA,B,,63.59,B600163-1-245
7000333,600163,EVT00031,single,105,B,25,21.92,B600163-2-288
7000334,600164,EVT00026,vip,103,,14,29.25,B600164-1-224
7000335,600164,EVT00073,single,103,C,4,67.32,B600164-2-870
7000336,600164,EVT00063,single,103,E,2,40.1,B600164-3-824
7000337,600164,EVT00033,single,,E,16,33.75,B600164-4-908
7000338,600165,EVT00026,single,103,C,16,23.15,B600165-1-245
7000339,600165,EVT00006,single,,D,15,104.16,B600165-2-871
7000340,600165,EVT00039,vip,,C,26,66.78,B600165-3-890
7000341,600166,EVT00052,single,104,B,27,33.49,B600166-1-448
7000342,600166,EVT00013,single,102,E,23,16.51,B600166-2-519
7000343,600167,EVT00027,single,101,,10,73.77,B600167-1-915
7000344,600167,EVT00064,youth,105,C,20,32.55,B600167-2-907
7000345,600168,EVT00055,youth,104,,12,149.58,B600168-1-493
7000346,600169,EVT00076,single,105,B,23,114.53,B600169-1-977
7000347,600170,EVT00051,single,101,E,30,46.46,B600170-1-912
7000348,600170,EVT00034,youth,105,C,11,22.18,B600170-2-324
7000349,600170,EVT00015,single,104,C,15,62.65,B600170-3-396
7000350,600170,EVT00033,single,101,C,23,33.87,B600170-4-382
7000351,600171,EVT00075,season,105,D,22,56.11,B600171-1-169
7000352,600171,EVT00045,single,104,C,10,20.28,B600171-2-617
7000353,600171,EVT00021,single,GA,B,,40.71,B600171-3-345
7000354,600172,EVT00053,single,104,B,5,95.64,B600172-1-689
7000355,600172,EVT00035,single,102,C,30,83.31,B600172-2-565
7000356,600173,EVT00076,single,,D,26,51.16,B600173-1-277
7000357,600173,EVT00044,single,,C,18,17.66,B600173-2-403
7000358,600174,EVT00042,single,103,,21,32.86,B600174-1-182
7000359,600174,EVT00010,single,101,D,21,9.91,B600174-2-707
7000360,600174,EVT00040,single,101,,25,27.39,B600174-3-842
7000361,600175,EVT00017,single,106,B,29,92.31,B600175-1-219
7000362,600176,EVT00034,single,104,E,3,7.73,B600176-1-317
7000363,600176,EVT00065,season,101,C,13,35.79,B600176-2-195
7000364,600176,EVT00018,single,106,D,17,36.5,B600176-3-949
7000365,600176,EVT00042,single,GA,C,,36.49,B600176-4-328
7000366,600177,EVT00060,single,,D,18,191.51,B600177-1-591
7000367,600178,EVT00034,single,,D,5,191.39,B600178-1-173
7000368,600179,EVT00028,vip,102,,1,32.92,B600179-1-312
7000369,600179,EVT00039,single,105,B,23,44.77,B600179-2-169
7000370,600179,EVT00042,single,101,A,3,64.42,B600179-3-485
7000371,600180,EVT00002,single,102,E,2,41.87,B600180-1-137
7000372,600180,EVT00002,comp,104,,18,0,B600180-2-491
7000373,600180,EVT00013,single,104,A,30,88.6,B600180-3-289
7000374,600181,EVT00077,single,104,B,27,47.35,B600181-1-482
7000375,600181,EVT00053,single,105,B,30,59.26,B600181-2-782
7000376,600181,EVT00074,single,104,B,20,31.3,B600181-3-466
7000377,600182,EVT00049,youth,104,E,4,61.93,B600182-1-205
7000378,600182,EVT00043,single,102,C,25,41.87,B600182-2-830
7000379,600183,EVT00059,single,104,,27,12.93,B600183-1-727
7000380,600183,EVT00017,single,,A,4,36.03,B600183-2-872
7000381,600184,EVT00053,single,GA,,,62.4,B600184-1-992
7000382,600184,EVT00016,single,101,C,17,78.84,B600184-2-619
7000383,600185,EVT00057,single,106,D,5,15.94,B600185-1-216
7000384,600185,EVT00055,youth,103,B,29,26.68,B600185-2-579
7000385,600186,EVT00006,season,105,D,15,59.05,B600186-1-348
7000386,600186,EVT00073,season,104,A,17,13.27,B600186-2-504
7000387,600186,EVT00057,single,103,D,19,47.13,B600186-3-111
7000388,600187,EVT00056,single,103,,1,178.98,B600187-1-988
7000389,600188,EVT00044,single,103,B,11,82.74,B600188-1-443
7000390,600188,EVT00049,single,,,7,60.11,B600188-2-154
7000391,600189,EVT00012,single,102,D,13,15.43,B600189-1-768
7000392,600189,EVT00036,season,106,D,17,22.97,B600189-2-517
7000393,600190,EVT00001,single,102,,11,60.84,B600190-1-672
7000394,600190,EVT00004,single,102,D,15,66.62,B600190-2-123
7000395,600191,EVT00050,youth,103,A,18,34.97,B600191-1-285
7000396,600191,EVT00030,single,101,E,7,33.42,B600191-2-708
7000397,600192,EVT00014,single,106,,6,7.28,B600192-1-981
7000398,600192,EVT00016,season,GA,A,,13.23,B600192-2-191
7000399,600193,EVT00002,single,103,E,25,50.96,B600193-1-882
7000400,600194,EVT00074,single,105,A,6,119.44,B600194-1-192
7000401,600195,EVT00040,single,106,B,3,37.67,B600195-1-247
7000402,600195,EVT00079,comp,104,,9,0,B600195-2-897
7000403,600195,EVT00058,single,102,,14,89.55,B600195-3-653
7000404,600195,EVT00070,single,,E,22,92.1,B600195-4-100
7000405,600196,EVT00041,single,102,D,10,13.88,B600196-1-854
7000406,600196,EVT00062,single,105,D,29,14.7,B600196-2-958
7000407,600197,EVT00021,single,104,,6,70.58,B600197-1-867
7000408,600197,EVT00012,single,,E,26,41.07,B600197-2-592
7000409,600198,EVT00057,single,102,,18,226.02,B600198-1-879
7000410,600199,EVT00013,single,104,E,20,63.98,B600199-1-682
7000411,600199,EVT00024,single,106,C,8,142.07,B600199-2-905
7000412,600200,EVT00057,single,,A,10,48.13,B600200-1-334
7000413,600200,EVT00002,single,103,E,29,52.22,B600200-2-843
7000414,600201,EVT00052,youth,103,D,4,231.31,B600201-1-148
7000415,600202,EVT00028,youth,103,C,26,109.41,B600202-1-727
7000416,600203,EVT00059,single,103,D,13,80.57,B600203-1-644
7000417,600204,EVT00058,single,106,,16,115.32,B600204-1-521
7000418,600204,EVT00077,season,103,D,16,109.48,B600204-2-388
7000419,600205,EVT00013,single,,,12,48.76,B600205-1-484
7000420,600205,EVT00038,single,105,E,22,92.29,B600205-2-595
7000421,600205,EVT00044,vip,104,,29,62.36,B600205-3-879
7000422,600206,EVT00059,single,103,A,10,12.46,B600206-1-666
7000423,600206,EVT00045,single,106,E,5,11.58,B600206-2-806
